service,usageType,region,blendedCost,usageDate,resourceId
S3,TimedStorage-ByteHrs,us-east-1,0.0774,2026-02-26,bucket-assets-147
EC2,DataTransfer-Out-Bytes,us-east-1,4.2411,2026-02-26,i-842255
EC2,BoxUsage:t3.medium,us-east-1,19.3375,2026-02-26,i-328620
RDS,db.t3.micro,us-east-1,4.0415,2026-02-26,db-674090
CloudWatch,Logs-Ingested,us-west-2,0.1037,2026-02-26,cw-647244
EC2,BoxUsage:m5.large,us-east-1,16.0085,2026-02-26,i-196600
S3,Requests-Tier1,us-east-1,0.0597,2026-02-26,bucket-media-451
EBS,EBS:VolumeUsage,us-east-1,1.3144,2026-02-26,vol-741816
S3,TimedStorage-ByteHrs,us-east-1,0.0043,2026-02-26,bucket-media-190
EC2,BoxUsage:m5.large,us-west-2,15.9084,2026-02-26,i-155736
EC2,BoxUsage:t3.medium,us-west-2,10.1897,2026-02-26,i-889079
S3,DataTransfer-Out-Bytes,us-east-1,0.0507,2026-02-26,bucket-assets-557
EBS,EBS:IORequests,us-west-2,0.5792,2026-02-26,vol-330500
CloudWatch,Metrics,us-east-1,0.1131,2026-02-26,cw-596374
EC2,BoxUsage:m5.large,us-east-1,15.5794,2026-02-26,i-377168
EBS,EBS:VolumeUsage,us-west-2,0.826,2026-02-26,vol-397470
S3,TimedStorage-ByteHrs,us-west-2,0.0424,2026-02-26,bucket-media-431
EBS,EBS:IORequests,us-east-1,0.5845,2026-02-26,vol-386374
S3,Requests-Tier1,us-east-1,0.048,2026-02-26,bucket-backup-525
S3,TimedStorage-ByteHrs,us-west-2,0.0248,2026-02-26,bucket-media-139
EBS,EBS:VolumeUsage,us-east-1,0.636,2026-02-26,vol-375539
CloudWatch,Metrics,us-east-1,0.1929,2026-02-26,cw-878219
EBS,EBS:SnapshotUsage,us-east-1,0.4249,2026-02-26,vol-412954
EBS,EBS:SnapshotUsage,us-east-1,0.3433,2026-02-26,vol-577034
RDS,db.t3.micro,us-east-1,1.6168,2026-02-26,db-537619
EBS,EBS:VolumeUsage,us-west-2,0.4082,2026-02-26,vol-962937
EC2,CPUCredits:t3,us-east-1,8.8702,2026-02-26,i-475820
Lambda,Lambda-Requests,us-east-1,0.1573,2026-02-26,lambda-event-worker-49
EC2,DataTransfer-Out-Bytes,us-east-2,1.6135,2026-02-26,i-187552
RDS,StorageUsage,us-east-1,5.3292,2026-02-26,db-183541
RDS,db.t3.small,us-east-1,4.8122,2026-02-26,db-696085
RDS,db.t3.micro,us-east-2,5.7475,2026-02-26,db-982631
RDS,StorageUsage,us-east-2,0.8299,2026-02-27,db-718377
EC2,BoxUsage:t3.medium,us-west-2,9.0434,2026-02-27,i-925433
NAT Gateway,NatGateway-Hours,us-west-2,2.07,2026-02-27,nat-754571
Lambda,Lambda-GB-Second,us-east-1,0.3698,2026-02-27,lambda-event-worker-29
NAT Gateway,NatGateway-Hours,us-west-2,0.5043,2026-02-27,nat-172228
EC2,CPUCredits:t3,us-east-2,5.7363,2026-02-27,i-596027
NAT Gateway,DataProcessed-Bytes,us-east-1,3.7497,2026-02-27,nat-913604
EBS,EBS:VolumeUsage,us-west-2,0.6,2026-02-27,vol-673992
RDS,BackupUsage,us-east-1,2.3208,2026-02-27,db-252691
NAT Gateway,NatGateway-Hours,us-west-2,3.8516,2026-02-27,nat-793452
Lambda,Lambda-GB-Second,us-east-1,0.0986,2026-02-27,lambda-billing-job-90
S3,TimedStorage-ByteHrs,us-west-2,0.0354,2026-02-27,bucket-backup-731
S3,Requests-Tier1,us-east-1,0.0135,2026-02-27,bucket-assets-543
EBS,EBS:VolumeUsage,us-east-1,0.7354,2026-02-27,vol-428086
NAT Gateway,DataProcessed-Bytes,us-west-2,1.7281,2026-02-27,nat-964315
EBS,EBS:IORequests,us-west-2,0.4687,2026-02-27,vol-284239
RDS,StorageUsage,us-east-1,4.671,2026-02-27,db-357111
EC2,BoxUsage:t3.medium,us-west-2,10.7521,2026-02-27,i-235681
Lambda,Lambda-GB-Second,us-east-1,0.11,2026-02-27,lambda-billing-job-65
EC2,CPUCredits:t3,us-west-2,9.0734,2026-02-27,i-623137
EC2,BoxUsage:t3.medium,us-east-1,4.231,2026-02-27,i-284828
EC2,BoxUsage:t3.medium,us-west-2,6.639,2026-02-27,i-721129
EC2,BoxUsage:t3.medium,us-west-2,4.7953,2026-02-27,i-771882
EC2,BoxUsage:t3.medium,us-east-1,9.9952,2026-02-27,i-184757
Lambda,Lambda-Requests,us-east-1,0.0871,2026-02-27,lambda-auth-hook-53
EC2,CPUCredits:t3,us-east-2,6.5531,2026-02-28,i-710561
EC2,CPUCredits:t3,us-west-2,6.6382,2026-02-28,i-517934
Lambda,Lambda-GB-Second,us-west-2,0.3613,2026-02-28,lambda-image-resizer-73
CloudWatch,Metrics,us-east-1,0.0266,2026-02-28,cw-379987
EC2,CPUCredits:t3,us-west-2,1.7104,2026-02-28,i-833702
S3,TimedStorage-ByteHrs,us-west-2,0.069,2026-02-28,bucket-media-725
EC2,DataTransfer-Out-Bytes,us-east-1,2.8525,2026-02-28,i-807000
EBS,EBS:SnapshotUsage,us-west-2,0.2564,2026-02-28,vol-678850
EC2,DataTransfer-Out-Bytes,us-east-2,5.04,2026-02-28,i-729825
S3,DataTransfer-Out-Bytes,us-west-2,0.0428,2026-02-28,bucket-backup-276
EBS,EBS:VolumeUsage,us-east-1,0.3709,2026-02-28,vol-409816
EC2,BoxUsage:t3.medium,us-east-2,0.9776,2026-02-28,i-156205
RDS,BackupUsage,us-east-1,4.9799,2026-02-28,db-110799
EC2,DataTransfer-Out-Bytes,us-west-2,7.2151,2026-02-28,i-766533
EC2,BoxUsage:t3.medium,us-west-2,7.4807,2026-02-28,i-874431
EC2,DataTransfer-Out-Bytes,us-west-2,3.5577,2026-02-28,i-914280
EC2,BoxUsage:t3.medium,us-west-2,1.2593,2026-02-28,i-326364
S3,Requests-Tier1,us-east-1,0.0606,2026-02-28,bucket-assets-202
EC2,DataTransfer-Out-Bytes,us-east-2,11.2196,2026-02-28,i-123428
EC2,CPUCredits:t3,us-east-1,6.9643,2026-02-28,i-927708
Lambda,Lambda-Requests,us-west-2,0.2696,2026-02-28,lambda-image-resizer-28
EBS,EBS:SnapshotUsage,us-east-1,1.4153,2026-02-28,vol-718182
S3,Requests-Tier1,us-east-1,0.0047,2026-03-01,bucket-backup-943
S3,TimedStorage-ByteHrs,us-west-2,0.0211,2026-03-01,bucket-backup-861
