"Service","EC2-Other($)","Relational Database Service($)","S3($)","EC2-Instances($)","Service Catalog($)","Key Management Service($)","SNS($)","Tax($)","CloudShell($)","VPC($)","Secrets Manager($)","CloudWatch($)","Total costs($)"
"Service total","5.759870079","0.7157812543","0.0001035276","5.62e-8","0","0","0","0","0","0","0","0","6.4757549171"
"2023-01-01","","0","0","","0","","","","","","","","0"
"2023-02-01","","0","0","","","","","","","","","","0"
"2023-03-01","","0","0","","","","","","","","","","0"
"2023-04-01","","0.0000002134","0","","","","","","","","","","2.134e-7"
"2023-05-01","","0.034035444","0","","","0","0","0","","","","","0.034035444"
"2023-06-01","","0.075749511","0","","","","","0","0","","","","0.075749511"
"2023-07-01","0","0.0757495106","0","0.0000000562","","","","0","","0","","","0.0757495668"
"2023-08-01","0","0.0757495106","0","","","","","0","","","","","0.0757495106"
"2023-09-01","0.959999976","0.075749511","0.000010752","","","","","0","","","","","1.035760239"
"2023-10-01","0.9600000144","0.0757495106","0.0000048524","","","","","0","","","","","1.0357543774"
"2023-11-01","0.959999976","0.075749511","0.000014712","","","","","0","","","","","1.035764199"
"2023-12-01","0.9600000144","0.0757495106","0.0000052924","","","","","0","","","","","1.0357548174"
"2024-01-01","0.9600000144","0.0757495106","0.0000129524","","","","","0","","","","","1.0357624774"
"2024-02-01","0.9598700838","0.0757495109","0.0000048516","","","","","0","0","","","","1.0356244463"
"2024-03-01","","","0.0000411924","","","0","0","","","","0","0","0.0000411924"
"2024-04-01","","","0.000005292","","","","","","","","","","0.000005292"
"2024-05-01","","","0.0000035324","","","","","","","","","","0.0000035324"
"2024-06-01","","","0.000000012","","","","","","","","","","1.2e-8"
"2024-07-01","","","0.0000000124","","","","","","","","","","1.24e-8"
"2024-08-01","","","0.0000000124","","","","","","","","","","1.24e-8"
"2024-09-01","","","0.000000012","","","","","","","","","","1.2e-8"
"2024-10-01","","","0.0000000124","","","","","","","","","","1.24e-8"
"2024-11-01","","","0.000000012","","","","","","","","","","1.2e-8"
"2024-12-01","","","0.0000000124","","","","","","","","","","1.24e-8"
"2025-01-01","","","0.0000000124","","","","","","","","","","1.24e-8"
